ID,Name,Image,Url,Review count,Category,Rating,Price,Latitude,Longitude,Address,City,State,Country,Phone,Review
HHtpR0RslupSQ99GIIwW5A,Marufuku Ramen,https://s3-media4.fl.yelpcdn.com/bphoto/ouK2VmW0SrI70jsJpTxJhw/o.jpg,https://www.yelp.com/biz/marufuku-ramen-san-francisco-5?adjust_creative=iuMW-YN0A5e1JsA5cAgIDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iuMW-YN0A5e1JsA5cAgIDQ,4122,Ramen,4.5,$$,37.78511637816802,-122.43200834862841,1581 Webster St,San Francisco,CA,US,(415) 872-9786,"['Long long overdue review, but I loved this place. The line was literally booty, so me and my friends went half an hour before opening, and sat by a nearby...', ""The food was amazing! I got the marufuku bites and the hakata tonkatsu, they were so good! The broth was the best I've ever had, highly recommend!"", 'Located inside a shopping mall, this is a perfect lunch spot. Come early and put your name down on the list and walk around the mall area to get some...']"
f-m7-hyFzkf0HSEeQ2s-9A,Fog Harbor Fish House,https://s3-media2.fl.yelpcdn.com/bphoto/by8Hh63BLPv_HUqRUdsp_w/o.jpg,https://www.yelp.com/biz/fog-harbor-fish-house-san-francisco-2?adjust_creative=iuMW-YN0A5e1JsA5cAgIDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iuMW-YN0A5e1JsA5cAgIDQ,8324,Seafood,4.5,$$,37.80898821475503,-122.41029651587517,39 Pier,San Francisco,CA,US,(415) 969-2010,"['Great food and not a long wait.  Perfect on a cool early afternoon.  Nice wait staff and right on the water.', ""Food was delicious! My wife and I were celebrating our wedding anniversary. Although the weather wasn't pleasant, we were able to see the Golden Gate Bridge..."", 'Not bad, but not impressive at the same time.\nThe service was pretty good, although they were busy.']"
XAYwAF_83becwNnSJDFkpA,Dumpling House,https://s3-media2.fl.yelpcdn.com/bphoto/DNfqq1zYxbJ-gsalml7wng/o.jpg,https://www.yelp.com/biz/dumpling-house-san-francisco?adjust_creative=iuMW-YN0A5e1JsA5cAgIDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iuMW-YN0A5e1JsA5cAgIDQ,360,Dim Sum,4.5,$$,37.763552,-122.432762,335 Noe St,San Francisco,CA,US,(415) 829-2789,"[""Love coming here - I've gotten so many of their items and have been happy with each. I've had their dumplings, the soups, vegetable dishes, you name it...."", 'Back again for dinner tonight:\n\nOn point: \n- XLBs\n- Wonton with chili sauce\n\nLess so: Pork and cabbage dumplings', ""Not the best dim sum I've had in SF... the restaurant itself is clean and modern, but the service was very very slow and the dim sum is quite Americanized....""]"
J7_-faNq_Ag9qTOlDn81Pw,Starbelly,https://s3-media2.fl.yelpcdn.com/bphoto/G1SweY3VbKx_BqAws9RytA/o.jpg,https://www.yelp.com/biz/starbelly-san-francisco?adjust_creative=iuMW-YN0A5e1JsA5cAgIDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iuMW-YN0A5e1JsA5cAgIDQ,2115,Comfort Food,4.0,$$,37.76402,-122.43253,3583 16th St,San Francisco,CA,US,(415) 252-7500,"['Starbelly has been one of my go to comfort restaurants since I moved to this city. The menu is always fresh and new but the atmosphere and service always...', 'Came here for SF Restaurant Week 2022! The lunch comes with a starter and an entree for $15! What a DEAL. \n\nI ordered the 1/2 liver pate plate and chicken...', 'We came here for my coworkers bday, and it was great vibes all around.\n\nWe ordered a lot, and we spent $89/person for about 13 people. We ordered hella...']"
QueFVMcMlT-6aZFv2M47mg,Bottega,https://s3-media2.fl.yelpcdn.com/bphoto/IawDcF1QmHSzUQDczHYVuw/o.jpg,https://www.yelp.com/biz/bottega-san-francisco-2?adjust_creative=iuMW-YN0A5e1JsA5cAgIDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iuMW-YN0A5e1JsA5cAgIDQ,379,Italian,4.5,$$,37.75472,-122.4212,1132 Valencia St,San Francisco,CA,US,(415) 655-9048,"['What a great place to grab lunch/dinner with your friends!\n\nThe servers are friendly. It adds that extra pizazz when they come by to offer freshly grated...', ""Ok let's debunk the hype - is Bottega really worth it? I say YES. \n\n| v i b e |\nThe ambience is something I noticed right away. It feels airy with the big..."", ""I am dairy and gluten free... so why would I be posting a 5 star review? Well, it's because Bottega has gluten free pasta. Usually, gluten free pasta will...""]"
LPoRD0huneBqPZbg1wsJ_Q,Jamie's Place,https://s3-media3.fl.yelpcdn.com/bphoto/RKaMazQvvf_AEoFKqquESg/o.jpg,https://www.yelp.com/biz/jamies-place-san-francisco?adjust_creative=iuMW-YN0A5e1JsA5cAgIDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iuMW-YN0A5e1JsA5cAgIDQ,242,Asian Fusion,4.5,$$,37.762616,-122.465979,1380 9th Ave,San Francisco,CA,US,(415) 803-1888,"['Very good food and service is very friendly.highly recommend\nWe order California omelet and it cooked perfectly. Dim sum is excellent', ""My friend introduced me to Jamie's Place and it's delicious. I love their presentation of food, and of course the food itself is very tasty. I think the..."", 'Attempted to try this place multiple times, the first time I went got there before the store opened and waited and waited and waited, no sign of it being...']"
d5752S_RDb26HxoL6O06eQ,Beit Rima,https://s3-media2.fl.yelpcdn.com/bphoto/M_-YjU1xtWfYP_oLsznIBw/o.jpg,https://www.yelp.com/biz/beit-rima-san-francisco-4?adjust_creative=iuMW-YN0A5e1JsA5cAgIDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iuMW-YN0A5e1JsA5cAgIDQ,200,Arabic,4.5,$$,37.765956,-122.449679,86 Carl St,San Francisco,CA,US,(415) 566-1274,"['Quick update:\n\nThese were great as well\n\nShashuka w cheese\nWhole fried branzino-fish\nFried potato', 'WOW! This restaurant truly is a hidden gem in Cole Valley. My boyfriend and I stopped in on a Sunday, not planning to go out for dinner. While driving by he...', 'The food is really good. We picked up, and they forgot something important, so we had to drive back, and they had accidentally given our item to someone...']"
8dUaybEPHsZMgr1iKgqgMQ,Sotto Mare,https://s3-media3.fl.yelpcdn.com/bphoto/o3hIcGLMxV_5ynxEjGWGrw/o.jpg,https://www.yelp.com/biz/sotto-mare-san-francisco-4?adjust_creative=iuMW-YN0A5e1JsA5cAgIDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iuMW-YN0A5e1JsA5cAgIDQ,4621,Seafood,4.5,$$,37.79979,-122.40834,552 Green St,San Francisco,CA,US,(415) 398-3181,"['The food was delicious here! There was about a 45 min wait for two when we came in a Friday night, and they gave us a pager that would let us know when our...', 'Excellent !\nThe best Italian food I ever had... Yum ! I mean it I never had Italian food that good pasta was done perfect sauce marinara is the best ever...', 'Absolutely the best place to meet friends to have the best Italian seafood in San Francisco. Sotto Mare serves old-school Italian seafood in an old-school...']"
q7PEtlrwVwHrQv0M6Mzwvw,Dumpling Kitchen,https://s3-media3.fl.yelpcdn.com/bphoto/cQQnVUSrIEcs8mzK13sv-g/o.jpg,https://www.yelp.com/biz/dumpling-kitchen-san-francisco-5?adjust_creative=iuMW-YN0A5e1JsA5cAgIDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iuMW-YN0A5e1JsA5cAgIDQ,27,Dim Sum,4.5,$$,37.76013,-122.43529,544 Castro St,San Francisco,CA,US,(415) 874-9882,"['So totally thrilled to find this place! We just attended the grand opening today (10/8/22): the food was freshly delicious & the service seamlessly...', 'A small storefront tucked in the heart of the Castro surprises you instantly if you walk in and ask to be seated in the back patio. We went midday on a...', ""FINALLY!!!!! This space and this neighborhood have a good restaurant!\nOur first time so we played it safe and went our GOSB's (good old stand bys), bbq pork...""]"
kqk5BoCJU59MC9fH0IB4wQ,Kin Khao,https://s3-media2.fl.yelpcdn.com/bphoto/dTZBSq8In_KgpgrE-rWHFA/o.jpg,https://www.yelp.com/biz/kin-khao-san-francisco-2?adjust_creative=iuMW-YN0A5e1JsA5cAgIDQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=iuMW-YN0A5e1JsA5cAgIDQ,2148,Thai,4.0,$$,37.78524,-122.40933,55 Cyril Magnin St,San Francisco,CA,US,(415) 362-7456,"[""I'll start with saying the only reason it's not 5 stars is because  we ordered everything at once and asked to have it coursed some, and ended up with..."", ""It has been a long and rough few years, but luckily for us, it's finally over. No, not the pandemic, I'm talking about waiting for Michelin-starred Kin Khao..."", ""This place has really really good food. Way over priced but they say that it is family sized portions... it's not. Portions are normal sized... so in other...""]"
